question,answer,context,gen_answer,truth
distance between dc to atlanta ga,639 miles or 1 028 kilometers,"['Map of driving directions from Washington, DC to Atlanta, GA. Click here to show map. Drag the line on the map to calculate the driving distance for a different route. If you want to verify these driving directions or look for another possible route, you can try. Google Maps, Bing Maps, or MapQuest.'
 'Fastest one-stop flight between Atlanta, GA and Washington, DC takes close to 3 hours. However, some airlines could take as long as 10 hours based on the stopover destination and waiting duration.'
 'Atlanta and Washington, DC are major international air hubs, and flights are easy to find. Although Atlanta is not served by some of the best-known discount airlines such as JetBlue or Southwest, competition on the Washington, DC, to Atlanta route keeps fares low.'
 'Find flights from Atlanta, GA to cities and airports near Washington, DC. Distance from Atlanta, GA to Washington, DC is approximately 860 kilometers.'
 'Flight time from Atlanta, GA to Washington, DC. Travel. If you are actually flying from Atlanta, GA, United States to Washington, DC, United States or if you are just curious to know the flight time between Atlanta, GA and Washington, DC, this page will give you the information you are looking for.'
 'Driving distance from Washington, DC to Atlanta, GA. The total driving distance from Washington, DC to Atlanta, GA is 639 miles or 1\u2009028 kilometers. Your trip begins in Washington, District of Columbia. It ends in Atlanta, Georgia.'
 'Taking the bus is often the cheapest way to travel around the United States, but the amenities are limited. The Washington, DC, to Atlanta route is 15 to 18 hours depending on the specific route you choose. Buses depart nearly around the clock, allowing you to choose the schedule that works best for you.'
 'The Washington, DC, to Atlanta route is scheduled as a 14-hour overnight route, but delays could push this to 18 or 20 hours. Coach fares may be less expensive than airfare, although adding a sleeping compartment is pricey.'
 'Both Washington, DC, and Atlanta, Georgia, have played a crucial role in United States history, and both are major international destinations today. Separated by only 629 miles and well connected by road, rail and air routes, it is easy to visit both cities in a single trip.'
 'Non-stop flights from Atlanta, GA to Washington, DC takes anywhere between 1 hour to 4 hours 15 minutes based on the airline you choose.']","The distance between Washington, D.C., and Atlanta, GA, is approximately 600 miles (965 kilometers) by road.",0
what is spiractin used for,"It is used to treat fluid retention (oedema) caused by several conditions, including congestive heart failure, hypertension (high blood pressure), liver cirrhosis and kidney disease.","['Spiractin 25 and Spiractin 100 tablets also contain lactose, microcrystalline cellulose, maize. starch, polysorbate 80, povidone, sodium starch glycollate, purified talc, magnesium stearate, peppermint oil, quinoline yellow (CI 47005), erythrosine (CI 45430) and sunset yellow FCF (CI 15985). PHARMACOLOGY.'
 'Spironolactone is contra-indicated in patients with acute renal insufficiency, anuria and hyperkalaemia. DOSAGE AND DIRECTIONS FOR USE: The initial dosage of 100 mg daily, in 4 divided doses. After 5 days the effect is evaluated; if the response is satisfactory the drug is continued, if possible at a lower dose. If the response is not satisfactory, a conventional diuretic may be given concomitantly at usual doses.'
 'Spiractin tablets 25mg are used to reduce fluid retention and swelling (oedema) which is caused by several conditions, including congestive heart failure, hypertension (high blood pressure), liver cirrhosis and kidney disease.'
 'Spironolactone, when used alone, is effective in lowering both systolic and diastolic. blood pressure. Spironolactone improves the hypotensive action of thiazide diuretics, while at the same time. reducing or preventing potassium loss due to the thiazide. Spironolactone enhances the effectiveness of other.'
 'Spiractin tablets 25mg contain spironolactone, a potassium-sparing diuretic that is used to treat oedema caused by several conditions, including congestive heart failure, hypertension (high blood pressure), liver cirrhosis and kidney disease.'
 'Spironolactone is used to treat high blood pressure and heart failure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. It is also used to treat swelling (edema) caused by certain conditions (such as heart failure, liver disease) by removing excess fluid and improving symptoms such as breathing problems.'
 'one of the spirolactones, a competitive antagonist of aldosterone and a potassium-sparing diuretic; used in treatment of edema, hypokalemia, primary aldosteronism, and (usually in combination with other drugs) hypertension.'
 'a potassium-sparing aldosterone antagonist diuretic. indications It is prescribed in the treatment of primary hyperaldosteronism, edema of congestive heart failure, cirrhosis of the liver accompanied by edema, nephrotic syndrome, essential hypertension, and hypokalemia.'
 'Spiractin tablets 25mg contain spironolactone, a potassium-sparing diuretic (water pill) that is used to treat fluid retention (oedema) caused by several conditions, including congestive heart failure, hypertension (high blood pressure), liver cirrhosis and kidney disease.'
 'OTHER USES: This section contains uses of this drug that are not listed in the approved professional labeling for the drug but that may be prescribed by your health care professional. Use this drug for a condition that is listed in this section only if it has been so prescribed by your health care professional.']","Spiractin, or spironolactone, is primarily used as a diuretic to treat conditions such as high blood pressure, heart failure, and edema. It is also used to manage hormonal issues like hyperaldosteronism and can be utilized in treating acne and hirsutism in women.",1
what state is birthplace to most us presidents,"Massachusetts, and New York.","['The number of presidents born per state are: 1  One: Arkansas, California, Connecticut, Georgia, Hawaii, Illinois, Iowa, Kentucky, Missouri, Nebraska, New Hampshire, New Jersey, Pennsylvania, and South Carolina. 2  Two: North Carolina, Texas, and Vermont.  Four: Massachusetts, and New York.'
 'Starting from the World War to the recent Iraq invasion, American presidents never hesitated to show their courage, along with their powers. And here is the list of top 10 most influential presidents of the United States of America.'
 'George Washington was the first President of the United States and widely considered as the Founding Father of the U.S.A. He was also the Commander-in-Chief of the Continental Army during the American Revolutionary War. He replaced the Articles of Confederation by drafting the United States Constitution.'
 'The following map shows the breakdown of past US presidents by the state of their birth: Samantha Lee/Business Insider. Virginia by far leads as the state that has produced the most US presidents at birth, with eight of 43 commander-in-chiefs originally hailing from there.'
 'The number of presidents born per state are: One: Arkansas, California, Connecticut, Georgia, Hawaii, Illinois, Iowa, Kentucky, Missouri, Nebraska, New Hampshire, New Jersey, Pennsylvania, and South Carolina.'
 'These lists give the states of primary affiliation, and of birth for each President of the United States. 1  1 States of primary affiliation. 2  1.1 States of primary affiliation by president.  1.2 Presidents with primary residence outside of birth state.'
 'The number of presidents born per state are: 1  One: Arkansas, California, Connecticut, Georgia, Hawaii, Illinois, Iowa, Kentucky, Missouri, Nebraska, New Hampshire, New Jersey, Pennsylvania, and South Carolina.  Two: North Carolina, Texas, and Vermont.'
 'Various different surveys and polls were conducted throughout the last century to create a list of the most powerful and influential presidents of the United States. Most notable among them were Harvard University 1948 poll, The Murray-Blessing 1982 survey and C-SPAN 1999 poll.'
 'And, unsurprisingly, the candidates still in the race all are from or represent states that have in the past given the US its presidents. Virginia by far leads as the state that has produced the most US presidents at birth, with eight of 43 commander-in-chiefs originally hailing from there. New York, which in the past has produced four US presidents, could have the honor of having produced a fifth US president come the 2016 election. Both Donald Trump and Vermont Senator Bernie Sanders originally come from New York City.'
 'JFK was the 35th President of the United States, the second-youngest president of American history, and the only president to win the Pulitzer Prize. He served his duty to the nation until his assassination in November 1963. Kennedy enrolled at Harvard College in September 1936 and joined the U.S. Navy in 1941.']",Virginia is the birthplace of the most U.S. presidents.,0
what is an ea for tax,An individual who has demonstrated technical competence in the field of taxation.,"['What does the term “Enrolled Agent” mean? “Enrolled” means EAs are licensed by the US Treasury Department. “Agent” means EAs are authorized to appear in place of the taxpayer at the Internal Revenue Service. Only EAs, attorneys, CPAs, and enrolled actuaries may represent taxpayers before the IRS.'
 'You will be furnished with the names and addresses of member EAs whose offices are in your area. Enrolled Agents often advertise in the Yellow Pages under “Tax Preparation” or, if available, “Enrolled Agents.” To search for an EA on our website, please click here.'
 ""5% isn't a lot,You probably won't really even notice the taxes, unless you are a coin seller yourself.But it is important to be aware of Ultimate Team taxes for when you are involved in more significant trading numbers. EA takes 5% for any player-to-player trade. This includes cards of any kind, just anything you're selling or buying on the trade market. The taxes are deducted from the final sale price that is given to the seller. Theoretically, the seller gets taxed.""
 'EAs are the only federally licensed tax practitioners who specialize in taxation and also have unlimited rights to represent taxpayers before the IRS. An Enrolled Agent (EA) is an individual who has demonstrated technical competence in the field of taxation. Enrolled Agents, or EAs, can represent taxpayers before all administrative levels of the Internal Revenue Service and state taxing authorities. 3.'
 ""Re: Why do EA even take 5% tax from sales? \u200e01-18-2014 07:10 AM. Yeah, I understand where EA are coming from but I used to have a million coin team. I don't trade but when I invest in high priced players, and after I've had enough of them, I sell them and I have around 900k instead of the full 1 million.""
 'In order to control the rapid rate at which some huge Ultimate Team traders/coin sellers seem to accumulate coins, EA has implemented a tax structure in FIFA 13 Ultimate Team.'
 'How to Locate an Enrolled Agent. The ability to locate an Enrolled Agent in your area is as close as your computer, your telephone or your mailbox. You can click here for our members, or go to the National Association of Enrolled Agents (NAEA) or Virginia Society of Enrolled Agents (VASEA) web sites noted below.'
 'An Enrolled Agent can do all of the things a Registered tax return preparer and/or unenrolled return preparer cannot do. Practicing law in tax matters: In the Commonwealth of Virginia, the Supreme Court regulates, (1) who can hold themselves out to be a tax expert and, (2) who can practice law in tax matters.'
 'An Enrolled Agent is an individual who has demonstrated technical competence in the field of taxation. The term Enrolled, means the individual, is licensed by the federal government. The term Agent, means the individual, is authorized to appear in place of the taxpayer at the Internal Revenue Service. Only Enrolled Agents (EAs), attorneys, and Certified Public Accountants (CPAs) may represent taxpayers before the IRS at all administrative levels.'
 ""It's a good thing when you can really be... 3 Reasons Why It's Tough to Teach in West Virginia (and These Other States). There are a lot of wonderful things about being a teacher, but it's a really difficult job, too. It's a profession that's immensely rewarding and imme... To See How Few Women There Are at the Top, Photoshop Out the Men. If you watched the Democratic primary debate last night, one thing probably stood out to you, regardless of your political leanings: Hillary Clinton w...""]","An EA, or Enrolled Agent, is a Tax Advisor who is authorized by the U.S. Department of the Treasury to represent taxpayers before the IRS. EAs have extensive knowledge of tax laws and can assist with tax preparation, audits, and resolving tax issues.",1
what does dtc stand for?,Data Transformation Corporation,"['Automated Customer Account Transfer. The transfer of securities from one account to another at a separate bank or brokerage. This may be done for any security or derivative: stocks, bonds, options, and futures may all be transferred via ACAT.'
 'The DUAT Service is a telephone-and Internet-based system which allows the pilot to use a personal computer for access to a Federal Aviation Administration (FAA) database to obtain weather and aeronautical information and to file, amend, and cancel domestic IFR and VFR flight plans.'
 ""The current DUATS service contractors are Computer Sciences Corporation (CSC) and Data Transformation Corporation (DTC). The service may be accessed by direct dial (using a terminal emulator like HyperTerminal), and the Internet via Telnet or HTTP. Update: The FAA terminated DTC's DUAT contract as of July 15, 2015.""
 'DUATS, or Direct User Access Terminal Service is a weather information and flight plan processing service contracted by the Federal Aviation Administration (FAA) for use by United States civil pilots and other authorized users.'
 'DUATS can provide a complete standard, outlook, or abbreviated weather briefings. These briefings are the same quality as, and can substitute for, those received from a Flight Service Station.'
 ""is the final remains of a pre-vulcanized latex concentrate in a semi-solid form which had settle down as sediments at the bottom of the dipping tank at the end of a 'former' dipping process in a glove manufacturing line.""
 'Effect of dipping tank coagulum (Dtc) on cure characteristics and ... by A.I.H., Dayang Habibah; Idris, Nur Fadhilah; Veerasamy, Devaraj; Kamarulzaman, Nor Hidayaty / Advances in Environmental Biology.'
 'A clearing house that is the largest security depository and post-trade financial services company in the world. Based in New York, the DTCC settles the large majority of securities transactions in the United States, totaling $1.86 quadrillion in value in 2007.'
 ') of the Roads and Transport Authority (RTA) has kicked off a promotional campaign entitled . Fleet as part of its strategic vision to upgrade the level of taxi services rendered to customers, enhance the operational efficiency, introduce and promote. services and raise the profile of the.'
 'However, each ACAT occurs over the Automated Customer Account Transfer System, which is only open to institutions eligible for membership in the National Securities Clearing Corporation and member banks of the Depository Trust Company.']","DTC can stand for several things, but commonly it means ""Direct to Consumer."" It can also refer to ""Diagnostic Trouble Code"" in the automotive context.",0
who played chief inspector charles dreyfus,Herbert Lom and after him Gendarme Gilbert Ponton.,"['In the 2006 reboot of The Pink Panther, Dreyfus (again as Chief Inspector) uses Clouseau as a decoy while he himself attempts to solve the crimes. Dreyfus merely views Clouseau as an idiot and never attempts to have him killed, whereas Clouseau attacks his employer at one point, mistaking his identity.'
 ""Chief Inspector Jacques Clouseau ([ʒak klu.zo]) (formerly Inspector) is a fictional character in Blake Edwards ' farcical The Pink Panther series. In most of the films he was played by Peter Sellers, but one film starred Alan Arkin and another featured an uncredited Roger Moore.""
 'In the 2006 Pink Panther revival and its 2009 sequel, he is played by Steve Martin. Clouseau as The Inspector is also the main character in a series of short animated cartoons as part of The Pink Panther Show. More recent animated depictions from the 1970s onward were redesigned to more closely resemble Sellers, and later Martin.'
 'Chief Inspector Clouseau is a patriotic Frenchman; later films reveal he had fought in the French Resistance during the Second World War. He has been prone to infatuation (often reciprocated) ever since the first film, in which his antagonist cuckolds him.'
 ""Herbert Lom dies at 95; played Chief Inspector Dreyfus in 'Pink Panther' movies. Dennis McLellan, Los Angeles Times. Herbert Lom, the actor who played Chief Inspector Dreyfus in the Pink Panther movies and was memorably reduced to eye-twitching madness dealing with Peter Sellers' imbecilic Inspector Clouseau, has died. He was 95. Lom died Thursday in his sleep at his London home, said the actor's son Alec.""
 'Professor Auguste Balls is an eccentric shop owner who supplies Clouseau with his numerous disguises. He was portrayed by Graham Stark in Revenge of the Pink Panther and Son of the Pink Panther, while Harvey Korman played him in Trail of the Pink Panther and Curse of the Pink Panther.'
 'In the re-launch, the role of Cato was offered to Jackie Chan, but the character was later scrapped for fear that the Chinese stereotype would be offensive, and Cato was replaced by a new character, Gendarme Gilbert Ponton (Jean Reno), assigned by Chief Inspector Dreyfus to watch over Clouseau.'
 ""Lom's first time out as the long-suffering Charles Dreyfus was in A Shot in the Dark, the 1964 follow-up to The Pink Panther, writer-director Edwards' 1963 hit that introduced Sellers as Jacques Clouseau. I was invited to have lunch at the Dorchester with Blake Edwards, Lom told the Edinburgh Evening News in 2002.""
 'This not only marks the return of the famous Pink Panther diamond but also that of Peter Sellers as Clouseau, along with Edwards, Mancini, Dreyfus and Cato. Sir Charles Litton is portrayed by Christopher Plummer.'
 'A Shot in the Dark, a film which was not originally intended to feature Clouseau, is the first of two films in the series (the other being Inspector Clouseau) that features neither the diamond nor the distinctive animated Pink Panther in the opening credits and ending.']","Chief Inspector Charles Dreyfus was played by Herbert Lom in the ""Pink Panther"" film series.",1
cost to expedite a passport  application,$60,"['Express Passport is authorized by the U.S. Department of State. We are a privately owned company not affiliated with the U.S. Government. We provide 1-10 day express passport service for an additional fee. Our expediting service starts as low as $99 in addition to the required government fee. If you do not want to use our expediting services you can visit your local passport acceptance facility or go directly to the U.S Department of State. We expedite U.S. Passports throughout the country using FedEx overnight delivery.'
 'Additional Passport Fees. Acceptance Agent Fee: The passport acceptance agent fee is required for all passport application expecting the passport renewal. This fee is for a federal agent to witness with signature of passport application.'
 'The cost of a passport can vary depending on the type of service you require, how quickly you need to get the application processed and any additional services you might need. There is an application fee for most services ranging from only $15 for a passport card for a minor to $110 for a new passport or renewal. An execution fee of $25 is mandatory when submitting Form DS-11. This is paid to the agent that adjudicates the application. The fees for some of the optional services are $60 for expedited service, $14.85 for overnight delivery of your new passport and $150 for a file search.'
 'Here we will try to explain the cost of obtaining a U.S. passport. Passport fees can sometimes be confusing with different fee structure for different passport services such as routine and expedited passport services.'
 'Standard processing time if you were to apply for one on your own would run you at least 8 to 14 weeks standard. US Passport Now offers services that will get you a U.S. Passport within 24 hours to two weeks guaranteed.'
 'The passport processing time for routine passport service is 4 – 6 weeks and expedited services 3 – 4 weeks. Routine Service is for U.S. citizen who are looking to get a passport and does not have a specific time to get the passport back.'
 'The lowest possible price would be about $50 for the renewal of a passport card for an adult. This would include the application fee, passport photo and postage. The highest amount an applicant might spend to get a passport can reach $750 or more.'
 'Additional Information. All of our passport services are expedited and come to you a lot faster than if you were to apply through the governments standard process. US Passport Now passport couriers are licensed and authorized by the U.S. Department of State that allows us to expedited this process on your behalf.'
 'The government requires a fee every time anyone wishes to request or expedite their passport regardless of the type of Passport. US Passport Now can not collect the government fee from you as you will be sending in a check or money order payable to the U.S.'
 'Passport Renewal. Passport Renewals are for U.S. citizens that currently have a valid passport in their possession that was obtained after the age of 18. Please note that if your passport has expired more than 5 years ago you fall into the category of a New Passport Application.']","The cost to expedite a passport application in the U.S. is typically an additional $60 on top of the regular application fee. Processing times for expedited services usually range from 5 to 14 business days, but it may vary. Check the official U.S. State Department website for the most current information.",1
total annual cost of HIV infection,$217.62 per HIV infection,"['An estimated 252 HIV-1 infections were averted each year. The total annual cost of the intervention was US$59,060 (1993 prices), equivalent to $0.39 per head of population served. The cost for STD case treated was $10.15, of which the drug cost was $2.11.he HIV seroconversion rate was 1.16% in the intervention communities and 1.86% in the comparison communities--a difference in HIV incidence of 0.70 (95% confidence interval, 0.37-1.09) and a reduction of about 40%. The total annual cost of the intervention was US$59,060 ($0.39 per person served).'
 'The cost of STD treatment was $10.15 per case. An estimated 252 HIV-1 infections were averted each year. The incremental annual cost of the program was $54,839, equivalent to $217.62 per HIV infection averted and $10.33 per disability-adjusted-life-year (DALY) saved.he HIV seroconversion rate was 1.16% in the intervention communities and 1.86% in the comparison communities--a difference in HIV incidence of 0.70 (95% confidence interval, 0.37-1.09) and a reduction of about 40%. The total annual cost of the intervention was US$59,060 ($0.39 per person served).'
 'The average annual per patient cost of HIV treatment and care in the US was $19,912, investigators report in the online edition of AIDS. The analysis was based on 2006 figures.Costs were highest for those with a CD4 cell count below 50 cells/mm 3.This was due to the high cost of inpatient care.ntiretroviral therapy cost an average of $9360 per year for each patient with a CD4 cell count below 50 cells/mm 3. This compared to average annual costs of between $11,800 and $12,313 for those with higher CD4 cell counts. Antiretroviral therapy was most expensive for those with the highest CD4 cell counts.'
 'The incremental annual cost of the intervention was $54,839, equivalent to $217.62 per HIV-1 infection averted and $10.33 per DALY saved (based on Tanzanian life expectancy) or $9.45 per DALY saved (based on the assumptions of the World Development Report).he HIV seroconversion rate was 1.16% in the intervention communities and 1.86% in the comparison communities--a difference in HIV incidence of 0.70 (95% confidence interval, 0.37-1.09) and a reduction of about 40%. The total annual cost of the intervention was US$59,060 ($0.39 per person served).'
 'Cost effectiveness. 1  Estimated lifetime cost of treatment for one person with HIV is $379,668 (in 2010 dollars). 2  Estimated average annual cost for HIV treatment is $23,000 (in 2010 dollars).emographics. 1  As of 2012, there were an estimated 34,375 people diagnosed with HIV. 2  An additional 6,051 people were living with HIV but unaware of their status. 3  An estimated total of 40,729 people are living with HIV in Illinois (including the undiagnosed).'
 'The HIV seroconversion rate was 1.16% in the intervention communities and 1.86% in the comparison communities--a difference in HIV incidence of 0.70 (95% confidence interval, 0.37-1.09) and a reduction of about 40%. The total annual cost of the intervention was US$59,060 ($0.39 per person served).he HIV seroconversion rate was 1.16% in the intervention communities and 1.86% in the comparison communities--a difference in HIV incidence of 0.70 (95% confidence interval, 0.37-1.09) and a reduction of about 40%. The total annual cost of the intervention was US$59,060 ($0.39 per person served).'
 'Total annual per patient cost for an individual with a CD4 cell count below 50 cells/mm 3 averaged $40,678. This compared to $16,614 for those with a CD4 cell count above 500 cells/mm 3. Antiretroviral therapy cost an average of $9360 per year for each patient with a CD4 cell count below 50 cells/mm 3.This compared to average annual costs of between $11,800 and $12,313 for those with higher CD4 cell counts. Antiretroviral therapy was most expensive for those with the highest CD4 cell counts.ntiretroviral therapy cost an average of $9360 per year for each patient with a CD4 cell count below 50 cells/mm 3. This compared to average annual costs of between $11,800 and $12,313 for those with higher CD4 cell counts. Antiretroviral therapy was most expensive for those with the highest CD4 cell counts.'
 'Nov. 2, 2006 - People with HIV can get 24 extra years of life from modern treatments -- at a total cost of $618,900 in 2004 dollars.That finding comes from a Cornell/Johns Hopkins/Harvard/Boston University research team that analyzed the costs and benefits of modern HIV treatment.ov. 2, 2006 - People with HIV can get 24 extra years of life from modern treatments -- at a total cost of $618,900 in 2004 dollars.'
 'Though the number of new infections per year in Chicago is down approximately 40% from 2000-2009, the number of people living with HIV is increasing.People are living longer as a result of more effective treatments, causing the number of deaths from HIV/AIDS each year to be lower than the number of new infections.emographics. 1  As of 2012, there were an estimated 34,375 people diagnosed with HIV. 2  An additional 6,051 people were living with HIV but unaware of their status. 3  An estimated total of 40,729 people are living with HIV in Illinois (including the undiagnosed).'
 'Theestimated total annual cost (in billion Rupees) of HIV:AIDS in India under low, mediumand high assumptions was 6.73, 20.16 and 59.19, respectively. Cost of treatment of AIDSand loss in productivity were the two major components of the cost. discount rate of 5% was used. The cost of HIV infections include (i) loss ofproductivity among HIV patients due to sickness and death, (ii) productivity loss due tocaregivers of AIDS patients, and (iii) cost of management of AIDS patients.']","The total annual cost of HIV infection can vary widely based on factors such as location, healthcare system, and individual treatment plans. In the U.S., treatment costs can exceed $20,000 per patient per year, including medications, medical care, and monitoring. Overall societal costs, including indirect expenses, can be much higher. For precise estimates, it's best to refer to specific studies or reports in your region.",0
who does sebastian stan play in,He played Jefferson the Mad Hatter on the television drama Once Upon a Time Prince Jack Benjamin on Kings and Carter Baizen on Gossip Girl.,"['Stan has also just been set to play Joshua, the estranged son to Meryl Streep’s rocker mom, in the Jonathan Demme-directed Ricki And The Flash at TriStar. Written by Diablo Cody, the film also stars Kevin Kline and Rick Springfield. Then it’s back to Captain America 3.'
 'So on Political Animals, Sebastian Stan’s character, TJ, plays the piano. I was just wondering, can Sebastian Stan really play the piano, or is that like a double playing? thehookerhatter reblogged this from sunshineofyoursmile and added:although his mom dose teach piano lessons, and I am sure he dose play. Before we hand the mtv award for best piano...'
 'Sebastian Stan Joins ‘The Martian’ And ‘Ricki And The Flash’. In addition to returning in his Bucky Barnes/The Winter Soldier character in Captain America 3, Sebastian Stan has been set for two strong roles.'
 ""I love dance, theatre, and writing. Soccer is my sport (go Baltimore Blast!) I love Frank Sinatra and have obsessions for Harry Potter, Once Upon a Time, and anything Disney. What's on your mind? So on Political Animals, Sebastian Stan’s character, TJ, plays the piano. I was just wondering, can Sebastian Stan really play the piano, or is that like a double playing? Tagged: political animalssebastian stan.""
 ""Sebastian Stan was born on the 13th of August 1983, which was a Saturday. Sebastian Stan will be turning 34 in only 362 days from today. Sebastian Stan is 33 years old. To be more precise (and nerdy), the current age as of right now is 12047 days or (even more geeky) 289128 hours. That's a lot of hours!""
 'Sebastian Stan (born August 13 1983) is a Romania-born New York-raised actor. He played Jefferson the Mad Hatter on the television drama Once Upon a Time Prince Jack Benjamin on Kings and Carter Baizen on Gossip Girl. He appeared in the films Captain America: The First Avenger and Black Swan.'
 ""I looked up and my brother's friend was still standing in the doorway. He smiled at me before turning and walking out of the room. Sophie got up and ran out of the room and I stood up. I made my way to the kitchen and walked over to grab myself a brownie.""
 'Chris Evans, Richard Armitage, Sebastian Stan, & Tom Hiddleston: One Shots. Piano: Part One-Sebastian Stan. Mommy! My daughter, Sophie, began to shout running over to me where I was sitting down and talking with some family. I looked up and saw my daughter standing in front of me, smiling like a fool.'
 ""Sebastian Stan is the Romanian-American actor who portrays Jefferson and his counterpart on ABC's Once Upon a Time. Sebastian Stan was born on August 13, 1983 in the Romanian city of Constanţa. Aged eight, he and his mother moved to Vienna, where she worked as a concert pianist.""
 ""With his career blowing up on screen, Sebastian is also starred in a 2013 Roundabout Theater Company production of William Inge's Picnic opposite Maggie Grace at the New York-based American Airlines Theater, which ended its last show on February 24, 2013. Previously dated Once Upon a Time star Jennifer Morrison.""]","Sebastian Stan is best known for playing Bucky Barnes, also known as the Winter Soldier, in the Marvel Cinematic Universe.",0
what is mef for efficiency,It is a calculation used to compare the relative efficiency of different clothes washers.,"['WF is the quotient of the total weighted per-cycle water consumption for cold wash, Q, divided by the capacity of the clothes washer, C. The lower the value, the more water efficient the clothes washer is.'
 'M + E + D + L. Water Factor, WF, is the water performance metric for commercial clothes washers that allows the comparison of clothes washer water consumption independent of clothes washer capacity. Manufacturers must submit their water consumption factors with their ENERGY STAR certified commercial clothes washers.'
 'However, the use of MEFs as a feeder layer can be laborious and MEF contamination is a significant concern. MEF conditioned media represents an efficient alternative to MEF feeder cells and is one of the mostly widely used feeder-free systems for embryonic stem cell culture.'
 'Feeder layers of mouse embryonic fibroblasts (MEF) support stem cell growth and the maintenance of pluripotency by secreting growth factors, cytokines, and nutrients. However, the use of MEFs as a feeder layer can be laborious and MEF contamination is a significant concern. See Details. MEF conditioned media represents an efficient alternative to MEF feeder cells and is one of the mostly widely used feeder-free systems for embryonic stem cell culture. MEF Conditioned Media includes the soluble factors required to support stem cell growth and pluripotency.'
 ""Modified Energy Factor (MEF) Modified Energy Factor, or MEF, is a calculation used to compare the relative efficiency of different clothes washers. The higher the value, the more efficient the clothes washer. To find your clothes washer's MEF, go to the ENERGY STAR® website.""
 'What It Means. The higher the EF, the more efficient the washing machine. A high-capacity washer that needs less electricity to run its mechanical systems is more efficient than a lower-capacity model that uses the same amount of electrical energy. EF calculations bear this out.'
 'The Energy Factor, or EF, is a performance metric that determines the efficiency of appliances such as clothes washers, dishwashers and hot water heaters. Energy Factor is an older metric that preceded the Modified Energy Factor (MEF), which is in use as of 2013. These figures are calculated for washing machine brands in an effort to determine whether the model qualifies for an Energy Star rating.'
 'Integrated Modified Energy Factor, IMEF, is the energy performance metric for ENERGY STAR certified residential clothes washers as of March 7, 2015.'
 'Modified Energy Factor, MEF, is the energy performance metric for ENERGY STAR certified commercial clothes washers as of March 7, 2015.'
 ""energy savings at home. Improving your home's energy efficiency with ENERGY STAR can help to lower high energy bills, improve comfort and reduce greenhouse gas emissions. Learn about the many ways to save in your home and track your progress with My ENERGY STAR - your new dashboard to savings.""]","MEF, or ""Mean Efficiency Factor,"" is a measure used to evaluate the efficiency of a process or system, often in relation to energy consumption or resource utilization. It quantifies how effectively inputs are converted into outputs. A higher MEF indicates better efficiency.",1
