,question,answers,gen_answer,truth
0,"who introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands? brainly",Joseph Lister,"Joseph Lister is known for introducing modern methods of surgery, such as the use of antiseptics, sterilization, and encouraging surgeons to wash their hands. This significantly reduced post-surgical infections and improved patient outcomes.",1.0
1,president adams,"John Quincy Adams was an American statesman who served as a diplomat, minister and ambassador to foreign nations, and treaty negotiator, United States Senator, U.S. Representative from Massachusetts, and the sixth President of the United States from 1825 to 1829.","John Adams was the second President of the United States, serving from 1797 to 1801. He was a leader of the American Revolution and a diplomat who helped negotiate the Treaty of Paris that ended the Revolutionary War. He was a Founding Father and served as the first Vice President under George Washington.",0.0
2,define semitic,"A member of any of a number of peoples of ancient southwestern Asia including the Akkadians, Phoenicians, Hebrews and Arabsb.","The term ""Semitic"" refers to a group of related languages that include Hebrew, Arabic, and Aramaic, among others. It is also used to describe the peoples who speak these languages, originating in the Middle East and North Africa. The term comes from Shem, a son of Noah in the Bible.",1.0
3,what is wudfhost service,It is a set of Microsoft tools that aid in the creation of device drivers for Windows.,"The WudfHost service is a component of the Windows Driver Foundation (WDF) in the Windows operating system. It provides a user-mode host process for Windows drivers that use the User-Mode Driver Framework (UMDF). The WudfHost service enables these drivers to run in user mode instead of kernel mode, improving system stability and security.",1.0
4,what is an overactive pancreas,"An overactive pancrease would produce more enzymes, but in the Islets of Langerhans, it could also produce too much insulin. Too much insulin in the blood could produce Hypoglycemia or low blood sugar.This is sometimes called pre-diabetes.","An overactive pancreas, also known as hyperinsulinism, refers to a condition where the pancreas produces too much insulin, a hormone that regulates blood sugar levels. This can lead to low blood sugar levels (hypoglycemia) and associated symptoms such as dizziness, sweating, and confusion. It can be caused by various factors, including certain medications, hormonal disorders, and genetic conditions.",1.0
5,where is ATP synthase located,In the mitochondria,"ATP synthase is located in the inner mitochondrial membrane of eukaryotic cells and the cell membrane of prokaryotic cells. It is responsible for generating ATP, the main energy currency of the cell, through a process called chemiosmosis.",1.0
6,what kind of bond is created by the attraction between atomic particles of opposite charge?,Ionic,"Ionic bond. This type of bond is formed by the attraction between oppositely charged ions, typically between a metal (positive ion) and a non-metal (negative ion).",1.0
7,how much money does a athletic trainer trainer get a year,"$38,000 to $82,000 per year","The average annual salary for an athletic trainer in the United States is around $49,000, according to the Bureau of Labor Statistics. However, salaries can vary widely depending on factors such as location, level of experience, and the specific industry in which they work. Athletic trainers who work in colleges, universities, and professional sports may earn significantly more.",0.0
8,how long before rigor sets in,12 hour,"Rigor mortis, the stiffening of muscles after death, typically begins to set in a few hours after death and becomes fully developed around 12 hours postmortem, depending on factors such as temperature and cause of death.",1.0
9,what is the color code for a rainbow,"In rainbow, the code for red is #FF0000, #FF7F00 for orange and #FFFF00 for yellow.","A rainbow does not have a single color code, as it is made up of multiple colors. A common mnemonic for the colors of a rainbow is ROYGBIV, which stands for Red, Orange, Yellow, Green, Blue, Indigo, and Violet. Each of these colors can be represented by a hexadecimal color code in web design, but there is no single color code that represents a rainbow.",0.0
10,charity navigator definition,Charity Navigator is an American independent charity watchdog organization that evaluates charitable organizations in the United States.,"Charity Navigator is an independent, non-profit organization that evaluates and rates charities in the United States based on their financial health, accountability, and transparency. Their goal is to provide donors with the information they need to make informed decisions about which charities to support. You can learn more about Charity Navigator and their work on their website: <https://www.charitynavigator.org/>",1.0
11,can ativan be used for insomnia,Yes,"Yes, Ativan (lorazepam) is sometimes used off-label for the short-term treatment of insomnia. However, it is generally not a first-line treatment due to the risk of dependence and withdrawal. It is important to consult with a healthcare provider to determine the most appropriate treatment for insomnia.",1.0
12,who is gal rimon gameffective,Founder and ceo of gameffective.,"Gal Rimon is the founder and CEO of Gameffective, a company that specializes in using gamification and data analytics to improve employee performance and engagement. Gameffective's platform uses game design elements and real-time performance tracking to motivate and engage employees, helping them to develop new skills and improve their productivity. Rimon has extensive experience in the high-tech industry and has held leadership positions at several successful startups.",1.0
13,indication that a breastfed baby is getting an adequate amount of milk is,The first dark stools passed by the baby to yellow stools by Day 5 and three to four stools per day by the fourth day of life.,"A common indication that a breastfed baby is getting an adequate amount of milk is sufficient weight gain (around 20-30 grams per day in the first few months) and having regular wet and dirty diapers (6-8 wet diapers and 3-4 dirty diapers per day). Additionally, the baby should appear satisfied and content after feedings. It's important to note that every baby is unique, and growth and feeding patterns may vary. If there are concerns about the baby's intake, it's best to consult a healthcare professional.",0.0
14,what degree do you have to get to a engineer,"An engineer's degree is an advanced academic degree in engineering that is conferred in Europe, some countries of Latin America, and a few institutions in the United States.","To become an engineer, you typically need to obtain at least a bachelor's degree in engineering from a university or college. Some engineering positions, particularly in research and development or management, may require a master's degree or a PhD. In addition to formal education, engineers typically need to be licensed by the state in which they practice, which requires passing a rigorous exam.",1.0
15,what year was the xbox released,2001,"The original Xbox was released in North America on November 15, 2001. It was Microsoft's first video game console, and it competed with Sony's PlayStation 2 and Nintendo's GameCube during the sixth generation of video game consoles.",1.0
16,where is the deepest body of ocean,Mariana Trench,"The deepest body of ocean is the Mariana Trench, located in the western Pacific Ocean. Its maximum depth is estimated to be around 36,000 feet (10,972 meters).",1.0
17,which is better for you aspirin or ibuprofen,Aspirin,"Ibuprofen is generally considered to be a better option than aspirin for pain relief because it is more effective at reducing inflammation, which can help to alleviate symptoms of conditions such as arthritis, menstrual cramps, and sports injuries. Additionally, ibuprofen has a longer duration of action than aspirin, meaning that its pain-relieving effects last for a longer period of time. However, both medications can have side effects and it is important to follow the recommended dosage and consult with a healthcare provider if you have any concerns.",0.0
18,what is the difference between conductivity and resistivity,"Conductivity is the electrical current flow, while resistivity is a measure of the material's ability to oppose electric current.","Conductivity is a measure of how well a material conducts electricity, with higher values indicating better conductivity. Resistivity, on the other hand, is a measure of how much a material resists the flow of electricity, with higher values indicating greater resistance. In other words, conductivity and resistivity are inversely proportional to each other. Conductivity is usually expressed in siemens per meter (S/m), while resistivity is expressed in ohm-meters (Ω-m).",1.0
19,how soon can nausea start in pregnancy,As early as the second week of your pregnancy.,"Nausea in pregnancy, also known as morning sickness, can start as early as 4 weeks after conception, or around 2 weeks after a missed period. However, it can vary from woman to woman, and some may not experience it until later in their pregnancy.",1.0
20,what is a nata,It is the authority that provides independent assurance of technical competence through a proven network of best practice industry experts for customers who require confidence.,"A ""natas"" is likely a reference to the Natas wargame, a series of web-based penetration testing challenges. The term ""natas"" itself does not have a specific meaning outside of this context.",0.0
21,what is a palliative consult,"Palliative Care Program is a specialized service providing pain and symptom management, counseling, support and guidance in navigating health care options and choices.","A palliative consult is a request for a consultation with a palliative care team to assist in managing the symptoms, pain, and quality of life of a patient with a serious or life-threatening illness. The consultation can include assessments, recommendations for treatment, and ongoing support for the patient and their family.",1.0
22,what is the survival rate for ovarian cancer,57% to 90%,"The survival rate for ovarian cancer varies depending on the stage of diagnosis and treatment. According to the American Cancer Society, the 5-year relative survival rate for all stages of ovarian cancer is about 49%. However, the survival rate is much higher for earlier stages of the disease:

* Stage I: 93%
* Stage II: 73%
* Stage III: 39%
* Stage IV: 17%

These statistics are based on data from 2012-2018 and may vary depending on the source and the specific characteristics of the patients. It's important to note that individual outcomes can differ significantly from these averages, and that early detection and treatment can greatly improve the chances of survival.",0.0
23,bible names meaning jeremy,"The meaning of name Jeremy is ""god will uplift"".","Jeremy is a Hebrew name meaning ""may the Lord lift up"" or ""appointed by God."" It is derived from the Hebrew name ""Yirmiyahu"" and is often translated as ""Jeremiah"" in the Bible. Jeremiah was a major prophet in the Bible, known for his messages of warning and judgment from God.",1.0
24,where does the nile river end/,Mediterranean Sea,"The Nile River ends in the Mediterranean Sea, in northern Egypt. It is the longest river in the world, flowing northward through northeastern Africa and draining into the Mediterranean Sea.",1.0
25,what county is elkader iowa in,Clayton,"Elkader, Iowa is located in Clayton County. It is the county seat of the county. The town was named after Abd al-Qadir, a 19th-century Algerian resistance leader who fought against French colonization.",1.0
26,what does ear wax color mean,"If your wax is dark, that means the wax is filled with debris, dust, dirt, and microorganisms.","The color of ear wax can provide some information about your ear health:

* Brown or orange-colored ear wax is normal and indicates that the ear wax is aging or contains dirt.
* Yellow or light-colored ear wax is also normal and is produced by the glands in your ear canals.
* Black ear wax can occur when ear wax is old or has been exposed to air for a long time.
* Green or white ear wax can be a sign of an ear infection or other medical condition and should be evaluated by a healthcare professional.

It's important to note that ear wax color alone is not a definitive indicator of ear health, and any concerns should be discussed with a healthcare provider.",1.0
27,executive officer meaning,"An executive officer (often abbreviated XO) is generally a person responsible for running an organization, although the exact nature of the role varies depending on the organization.","An executive officer (EO) is a high-ranking position in an organization, typically reporting directly to the CEO or president. They are responsible for managing major functions of the organization, such as operations, finance, or human resources. The specific duties of an EO can vary depending on the organization and industry.",1.0
28,lanark what county,Lanark is in Lanark County.,"Lanark is a town in Scotland, and it is located in the county-equivalent region of South Lanarkshire. However, it's important to note that Scotland abolished its traditional county structure for local government purposes in 1975, so the term ""county"" is not officially used in modern local government contexts.",1.0
29,what county is vega tx in,Oldham County,"Vega, TX is located in Oldham County. It is a small town in the Texas Panhandle with a population of around 800 people. Vega is known for its rich history, including its role in the Route 66 mother road and the XIT Ranch.",1.0
30,chicago illinois is in what county,Cook,"Chicago, Illinois is in Cook County. It is the county seat and the most populous city in Cook County.",1.0
31,is canola oil unhealthy,No,"Canola oil is generally considered to be a healthy cooking oil due to its high content of monounsaturated fats and low levels of saturated fats. It is also a good source of vitamin K and has a high smoke point, making it suitable for a variety of cooking methods. However, like all oils, canola oil should be consumed in moderation as part of a balanced diet.",1.0
32,how many game of thrones books are there,Five books.,"There are five books in the ""A Song of Ice and Fire"" series by George R.R. Martin, which serves as the basis for the ""Game of Thrones"" television show. However, the series is not yet complete, and two additional books are planned.",1.0
33,the iran-contra,The Iran Contra Affair began as an internal U.S. confrontation between Ronald Reagan and the Democratic Congress.,"The Iran-Contra affair was a political scandal in the United States that took place during the second term of the Reagan administration. It involved the sale of arms to Iran, which was subject to an arms embargo, and the use of the proceeds to fund the Contras in Nicaragua, who were fighting against the socialist Sandinista government. The scandal came to light in 1986 and led to the indictment and conviction of several high-ranking government officials. It was a significant constitutional crisis, as it was revealed that the executive branch had been conducting covert operations without the knowledge or consent of Congress.",1.0
34,what was the inqisitions all about,An organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices.,"The Inquisitions were Catholic Church tribunals aimed at suppressing heresy. They started in the 12th century and lasted for several centuries, with the most notorious being the Spanish Inquisition (1478-1834). The Inquisitions involved investigations, trials, and punishments (including executions) for those accused of deviating from Catholic orthodoxy.",1.0
35,what is a requirement traceability matrix,It is a document that links requirements throughout the validation process.,"A requirement traceability matrix is a tool used in project management and systems engineering to ensure that all requirements for a project or system are accounted for and can be traced from their origin to their implementation. It is a grid that links requirements to the elements that will fulfill them, such as design specifications, tests, and code. This matrix helps to ensure that all requirements are met, and changes to requirements can be easily tracked and managed.",1.0
36,which birth control method reduces the risk of pregnancy and protects from sexually transmitted infections?,The male latex or polyurethane condom and female condom.,"Correct and concise answer:

The most effective birth control method that reduces the risk of pregnancy and also protects against sexually transmitted infections (STIs) is the consistent and correct use of male or female condoms. When used correctly, condoms provide a physical barrier that prevents the exchange of bodily fluids, thereby reducing the risk of pregnancy and STIs. However, it's important to note that condoms may not be as effective as other birth control methods in preventing pregnancy, so they can be used in combination with other forms of contraception for added protection.",1.0
37,does nerve damage from chemo heal,Yes,"Nerve damage caused by chemotherapy may improve over time, but it is often permanent and does not fully heal. The extent of healing depends on various factors, including the type and duration of chemotherapy, the patient's age, and overall health. Managing symptoms and maintaining a healthy lifestyle can help individuals with chemotherapy-induced nerve damage.",0.0
38,uso definition,"It is a nonprofit organization that provides programs, services and live entertainment to United States service members and their families.","Sure! I'll do my best to answer your question correctly and concisely.

The term ""uso"" is a Spanish word that can be translated to ""use"" in English. It refers to the way something is utilized or the habit of doing something. For example, ""El uso correcto de este dispositivo prolongará su vida útil"" means ""The correct use of this device will prolong its useful life.""",0.0
39,what is mass multiplied by acceleration,Force,Mass multiplied by acceleration gives you force. This is expressed by the equation: Force (F) = Mass (m) x Acceleration (a).,1.0
40,what is concasse,"Concasse is a cooking term meaning to rough chop any ingredient, usually vegetables.","""Concasse"" is a French culinary term that refers to the process of roughly chopping or crushing ingredients into smaller pieces. This technique is often used for vegetables, fruits, and herbs, and is typically done with a knife or a specialized tool called a mezzaluna. The result is a chunky texture that retains some of the original ingredient's shape and texture.",1.0
41,harriet beecher stowe birthday,"Harriett Beecher Stowe's birthday is on June 14, 1811.","Harriet Beecher Stowe was born on June 14, 1811.",1.0
42,define language deprived,"It is associated with the lack of linguistic stimuli that are necessary for the language acquisition processes in an individual, usually in a very impoverished environment.","""Language deprived"" generally refers to a person or group that has limited or no access to language, either due to lack of exposure, developmental issues, or other factors. They may have difficulty communicating or understanding language, which can impact their ability to interact with others and participate in society.",1.0
43,role clarity definition,Role clarity is what it is that is nursing’s alone to own as well as to define the role of each individual nurse in each domain of practice.,"Role clarity refers to the extent to which a job's responsibilities, expectations, and goals are clearly defined and communicated to an employee. It includes having a clear understanding of one's duties, authority, and performance standards, which helps to increase job satisfaction, productivity, and overall job performance.",1.0
44,what does the name cull mean,Killing,"The name ""cull"" generally refers to the process of selecting and removing a portion of a group of animals, typically those that are weaker or less productive, in order to improve the overall quality or health of the group. It can also be used more broadly to mean a selection or group of items that have been chosen for removal or discarding. The word ""cull"" comes from an Old Norse word ""kula,"" which means ""to pick out or choose.""",0.0
45,can deadlifting make your joints sore,"Yes, Knees may be getting sore from deadlifts.","Yes, deadlifting can potentially make your joints sore due to the heavy weight and stress placed on them. However, this is not always the case and can be avoided with proper form and progression. It's important to warm up before lifting and cool down afterwards, and to gradually increase the weight you're lifting over time. If you experience persistent joint pain, it's best to consult a healthcare professional.",1.0
46,________ is typically formed by metamorphism of a sandstone.,Quartzite,"A quartzite is typically formed by metamorphism of a sandstone. This process involves heat and pressure, which cause the sandstone's quartz grains to recrystallize and grow, resulting in a dense, hard rock with a granoblastic texture.",1.0
47,what is the meaning of impairment,"Any loss or abnormality of psychological, physiological or anatomical structure or function.","Impairment refers to a limitation or loss of function in a person's physical, mental, or sensory abilities. It can be temporary or permanent and can affect a person's ability to perform daily activities or carry out tasks efficiently. Impairments can result from various factors, including injury, illness, disability, or aging. They can impact various aspects of a person's life, such as their mobility, communication, cognition, or emotional well-being.",1.0
48,what time do spring semesters start,At the end of January.,"Spring semester start times can vary depending on the specific school or university, but they typically begin in January and last until May. It's best to check with the specific institution you are interested in for their exact start date.",1.0
49,can crl be used on fiberglass,"Yes, crl can be used on fiberglass.","No, CRL (Coarse Rugged Lapping) is not typically used on fiberglass. CRL is a process used for grinding and lapping hard metals, not fiberglass or other composite materials. For finishing fiberglass surfaces, methods such as sanding, polishing, or gel coating are more commonly used.",0.0
50,what is  the action of the  trapezius muscle to the scapula,"Moving, rotating, and stabilizing.","The trapezius muscle helps to rotate, elevate, and depress the scapula (shoulder blade). It also helps to stabilize the scapula and assists in movements of the shoulder and arm.",1.0
51,oceanic crust is composed primarily of ________.,Basalts,"The oceanic crust is primarily composed of mafic rocks, such as basalt and gabbro. These rocks have a high concentration of iron and magnesium, and are denser than the felsic rocks that make up the continental crust.",1.0
52,cast of hush,"Casts of Hush are Kate Siegel as Maddie,John Gallagher Jr. as Man, Michael Trucco as John, Samantha Sloyan as Sarah,Emilia Graves as Max.","The main cast of the horror/thriller movie ""Hush"" (2016) includes:

1. Kate Siegel as Maddie Young, a deaf and mute author who becomes the target of a masked killer.
2. John Gallagher Jr. as the killer, also known as ""The Man.""
3. Michael Trucco as John, Maddie's boyfriend.
4. Samantha Sloyan as Sarah, Maddie's friend.
5. Emilia Zoryan as Eugene, Sarah's boyfriend.

These are the primary characters that drive the plot of the film.",1.0
53,what is the tennessee state tax in nashville,"7% of state sales tax,Depending on local municipalities, the total tax rate can be as high as 9.75%.","The state tax rate in Tennessee is 7% and is the same throughout the state, including in Nashville. However, it's important to note that Nashville also has a local option sales tax of 2.25%, which is added to the state tax rate. So, the combined sales tax rate in Nashville is 9.25%.",1.0
54,starting salary of registered nurse,"$28,000-$50,000 per year","The starting salary of a registered nurse (RN) can vary widely depending on the location, type of healthcare facility, and the specific RN specialty. However, according to the U.S. Bureau of Labor Statistics, the median annual salary for RNs in the United States in May 2020 was $75,330, or roughly $36.22 per hour. This means that half of all RNs earned more than this amount, and half earned less.

It's important to note that starting salaries for new RNs may be lower than the median salary, and can range from around $40,000 to $60,000 per year depending on various factors. RNs with advanced degrees or specialized certifications may earn higher salaries, as well as those who work in high-demand areas such as urban centers or specialized hospitals.",1.0
55,average pulse rate for male adults,60 to 100 beats a minute.,The average resting pulse rate for adult males is typically between 60-100 beats per minute.,1.0
56,how dissolve pills faster,Some pills are completely water soluble and therefore would dissolve in water faster than other liquids which are a mixture of water with other compounds.,"To dissolve pills faster, you can crush them into a fine powder and mix it with a small amount of water or place them in a spoon with a small amount of warm water and stir until fully dissolved. However, it's important to check if the pill can be crushed or if it needs to be taken whole, as some medications have special coatings that should not be destroyed. Always consult with a healthcare professional before altering any medication.",1.0
57,normal high temperatures des moines iowa,75A°,"The normal high temperature in Des Moines, Iowa, typically ranges from around 30 degrees Fahrenheit (-1 degree Celsius) in January to about 85 degrees Fahrenheit (29 degrees Celsius) in July. However, these values can vary slightly from year to year and depending on the specific location within the Des Moines area.",0.0
58,how many calories in fortune cookie,30 calories per one fortune cookie.,"A typical fortune cookie contains around 30-35 calories. However, the exact calorie count can vary depending on the size and brand of the cookie.",1.0
59,what is a signature dish,A signature dish is a dish that is closely identified with a chef or a restaurant and stands out as a prime example of that person's or establishment's cuisine.,"A signature dish is a dish that a particular chef or restaurant is known for and is closely associated with their identity or brand. It's a dish that showcases the chef's unique style, ingredients, or cooking techniques and is often requested by customers. Signature dishes can become popular and iconic, contributing to the success and reputation of the chef or restaurant.",1.0
