id,question,gen_answer,answers
5ad3c57a604f3c001a3feff2,What was the first textile device used commercially?,Spinning Jenny.,water pump
56e1c9bfe3433e1400423192,What concept is frequently used to define complexity classes?,Reduction.,reduction
572a0ecb1d04691400779717,What do David Castlles-Quintana and Vicente Royuela do for a living?,"I apologize, but there is no mention of David Castlles-Quintana and Vicente Royuela in the provided context. The text only mentions various individuals from different fields, including politics, literature, arts, science, and more, but these two names are not mentioned.",
5728128cff5b5019007d9c76,Supplies from Jacksonville were in support of which faction in the Civil War?,Confederate,Confederate
5a8942233b2508001a72a569,On what type of exponentiation does the prime logarithm key exchange depend on?,Modular.,
570963a5200fba1400367f34,What kind of company is Sky UK Limited?,Telecommunications,British telecommunications
57284d484b864d1900164904,When was the Gerald Ratner Athletics Center constructed?,There is no mention of the Gerald Ratner Athletics Center in the provided context.,2003
57286ec63acd2414000df9d5,What geochemist developed the uranium-lead dating method into lead-lead dating?,Claude Allegre.,Clair Cameron Patterson
5a1c6968b4fb5d001871461c,Sauriwa is the earliest known name for what area?,Asia Minor.,Ossachite
573009a004bcaa1900d77051,"The Rhine flowed through Swabia, Franconia and what other location in the 10th Century?",Lower Lorraine.,Lower Lorraine
57265200708984140094c23a,Who would the occupation alienate?,Filipinos.,
571cc8815efbb31900334dee,Where on Earth is free oxygen found?,Oceans,water bodies
572f59b4a23a5019007fc587,Why does the Rhine water fall into depths at the Rheinbrech?,Density.,greater density of cold water
57060eaf75f01819005e7912,Jamboree Business Parks belongs to which business center?,Irvine,Irvine Tech Center
5730a4d02461fd1900a9cf2a,When did France begin in earnest to rebuild its global empire?,1850,1850
572a0bebaf94a219006aa771,How many areas were impacted by the the death of vegetation in the 2010 drought?,Three,three
5a1c8e0bb4fb5d00187146c4,What hurricane had less effect on Jacksonville than other cities along the coast?,Hurricane Dora,
5acff00c77cf76001a6865b4,How long as the Canadian government been actively engaged in efforts to counter Islamism?,Not mentioned in the context.,
572ff293947a6a140053ce54,What country has the most factories that pollute the Rhine?,Germany,Switzerland
5728683b3acd2414000df9af,In what month is the university's scavenger hunt?,May,
570610b275f01819005e792c,What ranking in terms of busiest airports from international passenger volume is the Los Angeles International Airport?,Third.,third
5ad2b72fd7d075001a42a025,When did the Archduke Sigismund of Austria die?,"I apologize, but the text does not mention Archduke Sigismund of Austria or his death date.",
5ad5041c5b96ef001a10a9ad,How many projects does the Centre currently realize a month?,"I'm happy to help! However, I don't see any information about the Centre realizing a certain number of projects per month in the provided context. The text only discusses the University of Chicago and Harvard University, but doesn't mention a specific Centre or its projects. If you could provide more context or clarify which Centre you're referring to, I'd be happy to try and assist you further!",500
572fe4a304bcaa1900d76e58,What did the Rhine branch off to form in Austria?,Lake Constance.,
5ad2472bd7d075001a428b26,What type of entrepreneurship leads to a regression in technology?,Rent-seeking.,
5ad4c99d5b96ef001a10a0a6,What year did Kind Vilnius move his court to Warsaw?,1596,
57287d4a2ca10214002da3e4,What cultures were part of Kublai's administration?,"Mongolian, Chinese, and Tibetan.",
