question,answers
Which name is also used to describe the Amazon rainforest in English?,"['also known in English as Amazonia or the Amazon Jungle,', 'Amazonia or the Amazon Jungle', 'Amazonia']"
How many square kilometers of rainforest is covered in the basin?,"['5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest.', '5,500,000', '5,500,000']"
How many nations control this region in total?,"['This region includes territory belonging to nine nations.', 'nine', 'nine']"
"How many nations contain ""Amazonas"" in their names?","['States or departments in four nations contain ""Amazonas"" in their names.', 'four', 'four']"
What percentage does the Amazon represents in rainforests on the planet?,"[""The Amazon represents over half of the planet's remaining rainforests"", 'over half']"
What is the Dutch word for the Amazon rainforest?,"['Amazoneregenwoud', 'Amazoneregenwoud', 'Amazoneregenwoud']"
What rainforest covers the majority of the Amazon basin in South America?,"['The Amazon rainforest', 'Amazon rainforest', 'The Amazon']"
In what country can most of the Amazon rainforest be found?,"['Brazil', 'Brazil', 'Brazil']"
The Amazon rainforest makes up what amount of Earth's rainforests?,"['over half', 'over half', 'over half']"
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']"
What kind of forest is the Amazon rainforest?,"['moist broadleaf forest', 'moist broadleaf forest', 'tropical']"
How many square kilometers is the Amazon Basin?,"['7,000,000 square kilometres (2,70', '7,000,000', '7,000,000 square kilometres']"
How many nations are within the Amazon Basin?,"['nine nations', 'nine', 'nine']"
Which nation contains the majority of the amazon forest?,"['Brazil', 'Brazil', 'Brazil']"
Which Florida city has the biggest population?,"['Jacksonville', 'Jacksonville', 'Jacksonville']"
What was the population Jacksonville city as of 2010?,"['1,345,596', '1,345,596', '1,345,596']"
"Based on population alone, what is Jacksonville's ranking in the United States?","['12th', '12th', '12th']"
In which county does Jacksonville reside?,"['Duval', 'Duval County', 'Duval County']"
What year did consolidation cause Jacksonville to become part of Duval County?,"['1968', '1968', '1968']"
When did the 1973 oil crisis begin?,"['October 1973', 'October 1973', 'October 1973', 'October', '1973']"
What was the price of oil in March of 1974?,"['nearly $12', '$12', '$12', '$12', '$12']"
When was the second oil crisis?,"['1979', '1979', '1979', '1979', '1979']"
What was another term used for the oil crisis?,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']"
Who proclaimed the oil embargo?,"['members of the Organization of Arab Petroleum Exporting Countries', 'members of the Organization of Arab Petroleum Exporting Countries', 'Organization of Arab Petroleum Exporting Countries', 'members of the Organization of Arab Petroleum Exporting Countries', 'OAPEC']"
Who provides the bill of quantities?,"['a quantity surveyor', 'quantity surveyor', 'quantity surveyor']"
The owner typically awards a contract to who?,"['the most cost efficient bidder', 'the most cost efficient bidder', 'most cost efficient bidder']"
