question,answers,gen_answer,truth
"who introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands? brainly",Joseph Lister,"**Joseph Lister** is credited with introducing modern methods of surgery, including antiseptics, sterilization, and handwashing. 
",1
what kind of government was chiang kai-shek trying to build in china,Chiang Kai-Shek was trying to build a Communist government in China.,"Chiang Kai-shek was trying to build a **modern, authoritarian republic** in China. 
",0
president adams,"John Quincy Adams was an American statesman who served as a diplomat, minister and ambassador to foreign nations, and treaty negotiator, United States Senator, U.S. Representative from Massachusetts, and the sixth President of the United States from 1825 to 1829.","Please clarify your question. What about President Adams would you like to know? 

For example, you could ask:

* What were President Adams's main accomplishments?
* What were President Adams's political beliefs?
* What is President Adams known for? 


Once you provide a specific question, I can give you a concise and accurate answer. 
",0
define semitic,"A member of any of a number of peoples of ancient southwestern Asia including the Akkadians, Phoenicians, Hebrews and Arabsb.","## Definitions:

**Semitic:**

*  Refers to a language family including languages like Arabic, Hebrew, Aramaic, and Amharic. 
*  These languages share common roots and grammatical structures.
*  Sometimes used, controversially, to describe people of Middle Eastern or North African descent who speak these languages.

**Semipoint:**

*  A term with no widely accepted definition. 
*  It might be a misspelling of ""semi-point,"" which could refer to:
    *  Half a point in a scoring system.
    *  A point that is partially obscured or unclear.


Let me know if you had a specific context in mind for ""semipoint""! 
",1
what is wudfhost service,It is a set of Microsoft tools that aid in the creation of device drivers for Windows.,"Wudfhost is a Windows service that handles communication between the operating system and USB devices.  

It's responsible for:

* **Installing and managing USB drivers**
* **Allocating resources to USB devices**
* **Handling data transfers between devices and the computer**


Let me know if you'd like more details about a specific aspect of wudfhost!
",1
what is an overactive pancreas,"An overactive pancrease would produce more enzymes, but in the Islets of Langerhans, it could also produce too much insulin. Too much insulin in the blood could produce Hypoglycemia or low blood sugar.This is sometimes called pre-diabetes.","An overactive pancreas produces too much of the enzymes it makes, leading to **pancreatitis**.  

This can cause inflammation and damage to the pancreas itself. 
",0
,,,
where is ATP synthase located,In the mitochondria,"ATP synthase is located in the **inner mitochondrial membrane** in eukaryotes and the **plasma membrane** in prokaryotes.  
",1
what kind of bond is created by the attraction between atomic particles of opposite charge?,Ionic,"An **ionic bond** is created by the attraction between oppositely charged atomic particles. 
",1
how much money does a athletic trainer trainer get a year,"$38,000 to $82,000 per year","The salary of an athletic trainer can vary widely based on experience, location, and employer. 

**On average, athletic trainers in the US earn between $40,000 and $70,000 per year.** 

",0
