question,answers,gen_answer,truth
"who introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands? brainly",Joseph Lister,Joseph Lister.,1
president adams,"John Quincy Adams was an American statesman who served as a diplomat, minister and ambassador to foreign nations, and treaty negotiator, United States Senator, U.S. Representative from Massachusetts, and the sixth President of the United States from 1825 to 1829.","John Adams was the second President of the United States, serving from 1797 to 1801.",0
define semitic,"A member of any of a number of peoples of ancient southwestern Asia including the Akkadians, Phoenicians, Hebrews and Arabsb.","Semitic refers to a language family originating from the Middle East, including languages such as Arabic, Hebrew, and Amharic.",1
what is wudfhost service,It is a set of Microsoft tools that aid in the creation of device drivers for Windows.,"WUDFHost is a Windows service that hosts the Windows Driver Frameworks (WDF) kernel-mode driver. It provides a communication channel between the WDF driver and the Windows kernel, allowing the driver to interact with the operating system.",1
what is an overactive pancreas,"An overactive pancrease would produce more enzymes, but in the Islets of Langerhans, it could also produce too much insulin. Too much insulin in the blood could produce Hypoglycemia or low blood sugar.This is sometimes called pre-diabetes.","An overactive pancreas, also known as hyperinsulinemia, is a condition where the pancreas produces too much insulin, leading to low blood sugar (hypoglycemia).",1
where is ATP synthase located,In the mitochondria,ATP synthase is located in the mitochondrial inner membrane.,1
what kind of bond is created by the attraction between atomic particles of opposite charge?,Ionic,An ionic bond is created by the attraction between atomic particles of opposite charge.,1
how much money does a athletic trainer trainer get a year,"$38,000 to $82,000 per year","According to the Bureau of Labor Statistics, the median annual salary for athletic trainers in the United States is around $49,860. However, salaries can range from around $30,000 to over $80,000 depending on factors such as location, experience, and industry.",1
how long before rigor sets in,12 hour,"Rigor mortis typically sets in 3-4 hours after death, but can vary depending on factors such as temperature, physical activity before death, and individual factors.",0
what is the color code for a rainbow,"In rainbow, the code for red is #FF0000, #FF7F00 for orange and #FFFF00 for yellow.","The color code for a rainbow is: Red, Orange, Yellow, Green, Blue, Indigo, Violet.",0
charity navigator definition,Charity Navigator is an American independent charity watchdog organization that evaluates charitable organizations in the United States.,"Charity Navigator is a non-profit organization that evaluates and rates the financial health, accountability, and transparency of non-profit organizations in the United States.",1
can ativan be used for insomnia,Yes,"Yes, Ativan (lorazepam) can be used to treat insomnia, but it is not typically the first-line treatment due to its potential for dependence and abuse. It is often used as a short-term solution for insomnia in combination with other treatments.",1
who is gal rimon gameffective,Founder and ceo of gameffective.,"Gal Rimon is the founder and CEO of Gameffective, a company that develops gamification and engagement solutions for the enterprise.",1
indication that a breastfed baby is getting an adequate amount of milk is,The first dark stools passed by the baby to yellow stools by Day 5 and three to four stools per day by the fourth day of life.,"Frequent, wet diapers.",1
what degree do you have to get to a engineer,"An engineer's degree is an advanced academic degree in engineering that is conferred in Europe, some countries of Latin America, and a few institutions in the United States.","Typically, to become an engineer, you need to earn a Bachelor's degree in a specific engineering field, such as mechanical engineering, electrical engineering, or civil engineering.",1
what year was the xbox released,2001,2001,1
