question,answers,gen_answer,truth
"who introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands? brainly",Joseph Lister,"According to the context, Joseph Lister introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands, with his paper ""Antiseptic Principle of the Practice of Surgery"" in 1867.",1
what kind of government was chiang kai-shek trying to build in china,Chiang Kai-Shek was trying to build a Communist government in China.,"According to the context, Chiang Kai-shek was trying to build a Nationalist government in China. He was the leader of the Kuomintang, the nationalist movement in China, and aimed to unify China and fight communism.",0
president adams,"John Quincy Adams was an American statesman who served as a diplomat, minister and ambassador to foreign nations, and treaty negotiator, United States Senator, U.S. Representative from Massachusetts, and the sixth President of the United States from 1825 to 1829.","You're referring to John Quincy Adams, the 6th President of the United States. He served from 1825 to 1829.",1
define semitic,"A member of any of a number of peoples of ancient southwestern Asia including the Akkadians, Phoenicians, Hebrews and Arabsb.","According to the provided context, a Semite refers to:

* A member of any of a number of peoples of ancient southwestern Asia, including the Akkadians, Phoenicians, Hebrews, and Arabs (Definition of Semite, 1a).
* A descendant of these peoples (Definition of Semite, 1b).
* A member of a modern people speaking a Semitic language (Definition of Semite, 2).

Additionally, the term Semitic most commonly refers to the Semitic languages, a name used since the 1770s to refer to the language family currently present in West Asia, North and East Africa, and Malta.",1
what is wudfhost service,It is a set of Microsoft tools that aid in the creation of device drivers for Windows.,"The WUDFHost.exe is a process that belongs to the Windows Driver Foundation (WDF) - User-mode Driver Framework Host Process. It is a Windows system process that runs as a service with LOCAL SERVICE privileges, typically within the context of its parent svchost.exe (Host Process for Windows Services by Microsoft Corporation).",1
what is an overactive pancreas,"An overactive pancrease would produce more enzymes, but in the Islets of Langerhans, it could also produce too much insulin. Too much insulin in the blood could produce Hypoglycemia or low blood sugar.This is sometimes called pre-diabetes.","An overactive pancreas, also known as hyperinsulinemia, is a condition where the pancreas produces too much insulin, leading to low blood sugar (hypoglycemia). This can occur when the pancreas is overproducing insulin in response to a sudden increase in blood sugar levels, such as after consuming a large amount of sugar or carbohydrates. In this case, the pancreas produces too much insulin, causing blood sugar levels to drop too low.",1
,,,
where is ATP synthase located,In the mitochondria,"According to the context, ATP synthase is located in the mitochondria, specifically in the inner mitochondrial membrane, with a portion located within the membrane and another portion located above the membrane, inside the mitochondrial matrix. Additionally, it is also located in thylakoids, where protons travel through ATP synthase from the stroma to the thylakoid space.",1
what kind of bond is created by the attraction between atomic particles of opposite charge?,Ionic,"Based on the context provided, it seems that you are referring to a hydrogen bond. Hydrogen bonds are a type of weak bond that forms between hydrogen atoms and other atoms with a slightly positive charge, such as oxygen, nitrogen, or fluorine. This bond is a result of electrostatic attraction between the opposite charges.",1
how much money does a athletic trainer trainer get a year,"$38,000 to $82,000 per year","According to the provided context, the median annual salary for an Athletic Trainer is $42,774, as of March 31, 2017. Additionally, the bottom 10% of athletic trainers earned $25,960 or less, while the top 10% earned $64,140 or more each year.",1
