question,answers,gen_answer,truth
"who introduced modern methods of surgery, such as antiseptics, sterilization, and washing hands? brainly",Joseph Lister,"Joseph Lister, a British surgeon, introduced modern methods of surgery, including the use of antiseptics, sterilization, and washing hands, in the 1860s.",1
president adams,"John Quincy Adams was an American statesman who served as a diplomat, minister and ambassador to foreign nations, and treaty negotiator, United States Senator, U.S. Representative from Massachusetts, and the sixth President of the United States from 1825 to 1829.","John Adams, the 2nd President of the United States, served from 1797 to 1801.",0
define semitic,"A member of any of a number of peoples of ancient southwestern Asia including the Akkadians, Phoenicians, Hebrews and Arabsb.","Semitic refers to a language family originating from the Middle East, including languages such as Arabic, Hebrew, Amharic, and others. It is characterized by a common ancestral language, Proto-Semitic, and shares certain grammatical and phonological features.",1
what is wudfhost service,It is a set of Microsoft tools that aid in the creation of device drivers for Windows.,"Wudfhost is a Windows service that manages the Windows Driver Foundation (WDF) kernel-mode driver framework. It provides a set of APIs for developing device drivers and other kernel-mode components. The Wudfhost service is responsible for loading and managing WDF drivers, as well as providing a communication channel between the drivers and the Windows operating system.",1
what is an overactive pancreas,"An overactive pancrease would produce more enzymes, but in the Islets of Langerhans, it could also produce too much insulin. Too much insulin in the blood could produce Hypoglycemia or low blood sugar.This is sometimes called pre-diabetes.","An overactive pancreas, also known as hyperinsulinemia, occurs when the pancreas produces too much insulin, a hormone that regulates blood sugar levels. This can lead to:

* Low blood sugar (hypoglycemia)
* Weight gain
* Fatigue
* Increased hunger
* Difficulty concentrating

It can be caused by various factors, including:

* Insulin resistance
* Pancreatic tumors
* Genetic disorders
* Certain medications

Treatment typically involves lifestyle changes, such as diet and exercise, and in some cases, medication or surgery.",0
where is ATP synthase located,In the mitochondria,ATP synthase is located in the mitochondrial inner membrane of eukaryotic cells and in the plasma membrane of prokaryotic cells.,1
what kind of bond is created by the attraction between atomic particles of opposite charge?,Ionic,The attraction between atomic particles of opposite charge creates an ionic bond.,1
how much money does a athletic trainer trainer get a year,"$38,000 to $82,000 per year","According to the Bureau of Labor Statistics (BLS), the median annual salary for athletic trainers in the United States was $49,860 in May 2020.

However, salaries can vary depending on factors such as location, industry, level of experience, and employer. Here are some approximate average annual salary ranges for athletic trainers in different industries:

* High school: $35,000 - $50,000
* College/university: $40,000 - $65,000
* Professional sports: $50,000 - $80,000
* Hospital/clinic: $45,000 - $70,000
* Private practice: $60,000 - $100,000

Keep in mind that these are general estimates and can vary depending on specific circumstances.",1
how long before rigor sets in,12 hour,"Rigor mortis, the stiffening of the body after death, typically sets in within 3-4 hours after death, but can occur as early as 1-2 hours or as late as 6-8 hours, depending on factors such as:

* Environmental temperature
* Body temperature
* Physical activity before death
* Health status before death

It usually reaches its peak around 12-24 hours after death and then begins to subside as the body starts to decompose.",1
what is the color code for a rainbow,"In rainbow, the code for red is #FF0000, #FF7F00 for orange and #FFFF00 for yellow.","The traditional color code for a rainbow is:

1. Red ( longest wavelength, approximately 620-750 nanometers)
2. Orange (approximately 590-620 nanometers)
3. Yellow (approximately 570-590 nanometers)
4. Green (approximately 520-570 nanometers)
5. Blue (approximately 450-520 nanometers)
6. Indigo (approximately 420-450 nanometers)
7. Violet (shortest wavelength, approximately 400-420 nanometers)",0
charity navigator definition,Charity Navigator is an American independent charity watchdog organization that evaluates charitable organizations in the United States.,"Charity Navigator is a non-profit organization that evaluates and rates the financial health, accountability, and transparency of over 8,000 charities in the United States.",1
can ativan be used for insomnia,Yes,"Yes, Ativan (lorazepam) can be used to treat insomnia, but it's not typically the first-line treatment. It's often prescribed for short-term use to help with sleep initiation or maintenance. However, it's important to note that Ativan is a benzodiazepine, which can be habit-forming and may have side effects. It's usually recommended for short-term use and in combination with other sleep aids or therapies.",1
who is gal rimon gameffective,Founder and ceo of gameffective.,"Gal Rimon is the CEO and Co-Founder of Gameffective, a gamification platform that helps organizations increase employee engagement, motivation, and performance.",1
indication that a breastfed baby is getting an adequate amount of milk is,The first dark stools passed by the baby to yellow stools by Day 5 and three to four stools per day by the fourth day of life.,"A breastfed baby is getting an adequate amount of milk if they:

* Have 6-8 wet diapers per day
* Have 1-2 bowel movements per day
* Are gaining weight at a normal rate
* Are active and alert
* Are satisfied after feeding and may fall asleep or become relaxed
* Have a good latch and are feeding efficiently",0
what degree do you have to get to a engineer,"An engineer's degree is an advanced academic degree in engineering that is conferred in Europe, some countries of Latin America, and a few institutions in the United States.","Typically, to become an engineer, you need to earn a Bachelor's degree in a specific engineering field, such as:

* Bachelor of Science in Engineering (BSE)
* Bachelor of Engineering (BE)
* Bachelor of Science in Engineering Technology (BSET)
* Bachelor of Technology (BT)

The specific degree requirements may vary depending on the country, institution, and type of engineering.",1
what year was the xbox released,2001,The original Xbox was released in 2001.,1
where is the deepest body of ocean,Mariana Trench,"The deepest body of ocean is the Mariana Trench, located in the Pacific Ocean. It has a maximum depth of approximately 36,000 feet (10,973 meters).",1
